N;Pregunta;Opción A;Opción B;Opción C;Opción D;Respuesta Correcta
161;¿Qué software identifica el manual como compatible para la exportación de nubes de puntos?;Pix4D Mapper para el procesamiento de imágenes RGB.;Global Mapper para la gestión de datos geoespaciales.;DJI Terra como el software compatible para exportación.;AutoCAD Civil 3D para el diseño de infraestructura.;Opción C
162;¿Cuántos satélites exige el manual de IEB como mínimo para la navegación en el pre-vuelo?;Mínimo de 12 satélites para garantizar la telemetría.;Un mínimo de 8 satélites para la navegación satelital.;Basta con 5 satélites si se tiene señal RTK activa.;Se requieren 15 satélites para iniciar el armado de motores.;Opción B
163;¿Cuál es el margen de reserva de batería recomendado para finalizar la operación?;Debe aterrizarse con una reserva del 5% de capacidad.;No exceder el 80% de capacidad, dejando reserva del 20-30%.;Se permite agotar hasta el 90% si la misión es crítica.;La reserva mínima obligatoria es de 10 minutos de vuelo.;Opción B
164;¿Qué plazo tiene el Comité SRB para identificar las causas raíz tras un evento?;Debe identificarlas en las primeras 48 horas del suceso.;Dentro de los primeros 15 días posteriores al evento.;Cuenta con 30 días hábiles para el análisis estratégico.;No hay plazo fijo, depende de la gravedad del incidente.;Opción B
165;¿Qué sistema de codificación utiliza IEB para la ubicación de equipos en estantería?;Nombres de los colores primarios para cada tipo de UAS.;Codificación por locación, ejemplo: 11-A, B, C.;Uso de códigos de barras basados en el NIT de la empresa.;Asignación de números correlativos por fecha de compra.;Opción B
166;¿Cuál es el techo de servicio del M300 RTK si se utilizan las hélices modelo 2195?;Un límite máximo de 5000 metros sobre el nivel del mar.;El manual especifica un techo de servicio de 7000 metros.;Permite operar hasta los 8000 metros en zonas andinas.;No se recomienda superar los 4000 metros con estas hélices.;Opción B
167;¿Qué herramienta de autoevaluación es requisito para prevenir fatiga y consumo de sustancias?;El uso del programa interno de bienestar IEB-VIVE.;La aplicación de encuestas de clima organizacional SGI.;El uso del programa GTH.PG.019 para prevención.;Un examen médico de orina realizado antes de cada vuelo.;Opción C
168;¿Dónde se encuentran ubicadas las oficinas administrativas de IEB específicamente?;En la Oficina 247 del Centro Empresarial Puerto Seco.;Dentro del hangar principal del aeropuerto Olaya Herrera.;En la Oficina 204 del Centro Empresarial Puerto Seco.;En el quinto piso de la sede principal de Ingeniería S.A.;Opción C
169;¿Qué severidad representa la inmovilización de un UAS por falla técnica en la matriz SMS?;Es una falla insignificante (E) que no requiere reporte.;Se considera una pérdida catastrófica (A) para la empresa.;Representa un riesgo de nivel crítico para la operación.;Debe ser evaluada según la frecuencia por el comité SAG.;Opción D
170;¿Cuál es la función del Jefe de Pilotos respecto a la observación en operaciones VLOS?;Es quien debe actuar obligatoriamente como observador.;Su autorización es necesaria para el uso de un observador.;Debe firmar el acta de la Aerocivil tras cada aterrizaje.;Es el único que puede anular el requerimiento de EPP.;Opción B
171;¿Qué áreas deben estar físicamente delimitadas en la sede de IEB según el RAC 145 y el MO?;Únicamente un salón de entrenamiento y una bodega de repuestos genéricos.;Calidad, SMS, Planeamiento Operacional, Registro Técnico y Gerencia.;Áreas de cafetería, zona de descanso de pilotos y recepción de clientes.;Solo se requiere un área de mantenimiento y una oficina para el representante.;Opción B
172;¿Cuál es la política de IEB respecto al tiempo límite para notificar el consumo de sustancias?;Debe notificarse cualquier consumo al menos 4 horas antes del vuelo.;Se prohíbe el consumo de sustancias 12 horas antes de la operación.;La notificación debe hacerse inmediatamente al finalizar la jornada laboral.;No hay restricción de tiempo si el piloto declara sentirse en plenas facultades.;Opción B
173;¿Qué tiempo de retención total deben cumplir los registros digitales antes de su destrucción?;60 meses en total (36 meses en oficina y 24 en archivo muerto).;24 meses en oficina y eliminación inmediata tras la auditoría anual.;12 meses en oficina y 48 meses adicionales en servidores externos.;36 meses únicamente en archivo muerto para liberar espacio en la sede.;Opción A
174;¿Cuál es la diferencia funcional entre los comités SRB y SAG en el SMS de IEB?;El SRB es mensual y el SAG se reúne anualmente para temas presupuestales.;El SAG es estratégico y el SRB es operativo para seguimiento de riesgos.;El SRB es estratégico (Gerente) y el SAG es operativo (seguimiento mensual).;Ambos comités realizan las mismas funciones y se rotan cada seis meses.;Opción C
175;¿Qué maniobra técnica debe realizarse a máxima distancia para validar la estabilidad del C2?;Un ascenso rápido a 400 pies seguido de un descenso en espiral cerrada.;Rotaciones YAW de 360° con ángulos de balanceo iguales o mayores a 10°.;Vuelo en línea recta manteniendo una velocidad constante de 15 metros/segundo.;Vuelo estacionario durante diez minutos para medir el consumo de batería.;Opción B
176;¿Qué indicador de calidad del enlace C2 debe monitorearse activamente en la estación de tierra?;La resolución de pantalla y el brillo del monitor de la estación de control.;El nombre del fabricante del software de navegación y la versión de mapas.;Tasa de errores de bits (BER), degradación y tiempo de retardo del enlace.;La intensidad del Wi-Fi doméstico disponible en la zona de operación.;Opción C
177;¿Cuál es el plazo para informar a la Aerocivil sobre cambios en el MO o personal clave?;Debe informarse de manera inmediata en las primeras 24 horas del cambio.;Se cuenta con un plazo máximo de 15 días hábiles para la comunicación.;Los cambios se reportan únicamente durante la renovación del certificado.;Tiene 30 días calendario para enviar la actualización vía correo certificado.;Opción B
178;¿Qué garantiza la objetividad en las auditorías internas del SMS según el manual de IEB?;Que sean ejecutadas por el Gerente de SMS bajo supervisión del Jefe de Pilotos.;Que sean realizadas por personal externo no vinculado a la empresa IEB.;Que sean ejecutadas por la Líder de SGI-Calidad en lugar del Gerente SMS.;Que el Gerente General realice la auditoría sin acompañamiento técnico.;Opción C
179;¿Bajo qué condiciones se aplica la política de Reporte No Punitivo en IEB?;Se aplica para cualquier acto ilícito o negligencia grave debidamente comprobada.;No habrá sanciones por reportar errores propios, salvo negligencia o actos ilícitos.;Las sanciones se eliminan únicamente si el error no causó daños a la aeronave.;El reporte no punitivo es exclusivo para observadores, no aplica para pilotos.;Opción B
180;¿Qué requisitos ambientales deben cumplir los espacios de almacenamiento en la sede?;Contar con luz tenue y música ambiental para prevenir el estrés del personal.;Tener aire acondicionado a 15°C y sensores de movimiento en cada estante.;Iluminación, ventilación y protección contra el polvo y factores climáticos.;Suelos alfombrados y paredes con aislamiento acústico de grado industrial.;Opción C
181;"¿Qué representa una calificación de ""5A"" en la matriz de riesgos de seguridad operacional?";Un incidente sumamente improbable que causa daños menores a la aeronave.;Un riesgo frecuente con severidad catastrófica para la operación de IEB.;Una falla técnica remota que solo afecta la calidad de la transmisión de video.;Un riesgo ocasional cuya severidad es insignificante para terceros en tierra.;Opción B
182;¿Qué debe verificarse respecto a la preservación de las UA en la bodega de IEB?;Que los drones estén colgados para evitar contacto con superficies sólidas.;Uso de carcasas, espumas de seguridad y disposición correcta de hélices.;Que cada batería esté guardada en una caja metálica individual con candado.;Que las aeronaves se mantengan encendidas en modo reposo una vez al día.;Opción B
183;¿Cuál es la función del sistema de almacenamiento de Backup en el enlace C2?;Guardar las grabaciones de video de alta definición para el cliente final.;Almacenar todos los datos transmitidos por el enlace C2 para auditoría posterior.;Permitir la recuperación del sistema operativo de la GCS ante un virus.;Registrar los datos de contacto de todas las personas que visitan el dronepuerto.;Opción B
184;¿Qué programa interno debe cumplir IEB para prevenir el consumo de alcohol y sustancias?;El protocolo nacional de salud ocupacional de la Aeronáutica Civil Colombiana.;Se basa en las recomendaciones del manual de convivencia del Puerto Seco.;Sigue estrictamente el cumplimiento del programa interno GTH.PG.019.;Aplica las pruebas aleatorias diseñadas por el fabricante DJI para sus técnicos.;Opción C
185;¿Cuál es la obligación de IEB respecto a la seguridad de su bodega de equipos?;Identificación de áreas de almacenamiento y restricción de acceso no autorizado.;Contar con vigilancia armada las 24 horas dentro del área de estantería.;Instalar cámaras de seguridad con resolución 4K en cada punto de acceso.;Que el personal administrativo realice un inventario físico cada mañana.;Opción A
186;¿Qué documento debe estar vigente y disponible para inspección inmediata del piloto?;El diploma de grado y la certificación de experiencia laboral previa.;El carné de afiliación a la empresa y el registro de horas de vuelo.;El certificado médico ocupacional vigente del personal operativo.;La copia de la cédula de ciudadanía autenticada ante notario público.;Opción C
187;¿Cuál es el propósito del Listado Maestro de documentos en la gestión de IEB?;Listar los nombres y teléfonos de todos los proveedores de repuestos.;Mantener la existencia y actualización de los documentos y anexos oficiales.;Registrar el historial de compras de aeronaves desde la creación de la empresa.;Contabilizar las horas de servicio de cada uno de los técnicos de mantenimiento.;Opción B
188;En el SMS de IEB, ¿qué define la severidad de un riesgo identificado?;El costo económico total de la reparación de la aeronave tras un accidente.;La magnitud de las consecuencias potenciales de un peligro para la seguridad.;La cantidad de veces que el evento ha ocurrido en los últimos tres años.;La opinión del Jefe de Pilotos sobre la dificultad de la maniobra de vuelo.;Opción B
189;¿Qué se verifica en la estación de tierra respecto a la degradación de señal?;La capacidad de la batería del monitor para durar al menos cuatro horas.;El tiempo que tarda el software en cargar los mapas satelitales de la zona.;La indicación visual y auditiva de la calidad de mando y control (C2).;El nivel de ruido ambiental medido en decibelios en el sitio de operación.;Opción C
190;¿Cuál es el requisito para la codificación de estantería en la bodega de IEB?;Uso de etiquetas con colores primarios según la categoría de la aeronave.;Un sistema de identificación por fecha de adquisición de cada componente.;Codificación específica por locación, tal como el sistema 11-A, B, C.;No se requiere codificación si el personal conoce la ubicación de los equipos.;Opción C
192;¿Qué acción procedimental exige el manual de IEB realizar inmediatamente después de la inspección física post-vuelo?;Limpiar los motores con aire comprimido para remover residuos de polvo.;Colocar el protector del lente (gimbal cover) de la cámara o sensor.;Descargar los logs de vuelo directamente a la plataforma DJI Terra.;Retirar las antenas de la estación de control para su almacenamiento.;Opción B
193;¿Cada cuánto tiempo se debe realizar la actualización del control de inventario físico según el manual de IEB?;Se debe realizar una actualización mensual coincidiendo con el comité SAG.;El control de inventario físico se actualiza obligatoriamente cada 6 meses.;Únicamente cuando se adquiere una nueva aeronave o sensor especializado.;Al finalizar cada misión de campo antes de regresar a la sede administrativa.;Opción B
194;¿Qué información de telemetría debe ser monitoreada en la GCS durante todas las fases de vuelo en IEB?;El historial de actualizaciones de software de la aplicación de control.;Altitud, altura geométrica, ángulos de cabeceo, rumbo, velocidad y posición.;La temperatura de color de la transmisión de video para fines de edición.;El número de serie de la tarjeta microSD insertada en la aeronave.;Opción B
195;¿Cuál es la limitación operativa de Ingeniería Especializada S.A. respecto a la condición visual de vuelo?;IEB está autorizada para realizar vuelos BVLOS en zonas rurales despobladas.;La empresa NO realiza operaciones en condición visual de tipo BVLOS.;IEB realiza vuelos BVLOS siempre que cuente con un observador certificado.;Solo se realizan vuelos BVLOS si la aeronave es el DJI Matrice 300 RTK.;Opción B
196;¿Cuál es el propósito de los indicadores BER (tasa de errores de bits) y retardo en la telemetría de IEB?;Medir la calidad del mando y control (C2) para asegurar una operación segura.;Determinar la resolución máxima a la que se puede grabar el video en campo.;Calcular la velocidad del viento en tiempo real mediante el enlace de radio.;Verificar si la batería de la aeronave es original o de un tercero.;Opción A
197;¿Qué requisito de idoneidad debe presentar el personal operativo de IEB ante el inspector en campo?;El diploma de pregrado y el certificado de afiliación a la caja de compensación.;Certificado de Idoneidad vigente con adiciones técnicas y examen médico.;Licencia de conducción de vehículos pesados para el transporte de los UAS.;Una carta de recomendación firmada por el Gerente General de la empresa.;Opción B
198;¿Cuál es la distancia máxima permitida para operaciones VLOS en Ingeniería Especializada?;Un radio de 1.500 metros siempre que el drone sea visible al ojo humano.;La distancia máxima permitida en esta modalidad es de 750 metros.;Hasta 3.000 metros si el piloto utiliza gafas de sol con filtro polarizado.;El límite que establezca la potencia de transmisión de la banda 5.8 GHz.;Opción B
199;¿Qué sucede si se pierde la comunicación continua entre el piloto y el observador en EVLOS?;El observador debe buscar una zona más alta para recuperar el contacto visual.;Se debe continuar la operación utilizando únicamente la telemetría del GIS.;La operación debe suspenderse inmediatamente según el manual de IEB.;El piloto debe realizar un vuelo estacionario hasta que el observador regrese.;Opción C
200;"¿Bajo qué criterio se define una oficina como ""adecuada"" en la sede de Puerto Seco?";Si cuenta con mobiliario ergonómico y sistema de aire acondicionado central.;Si permite que el personal de mantenimiento realice su trabajo satisfactoriamente.;Que esté ubicada a menos de 10 minutos de la zona de operaciones de campo.;Si tiene paredes insonorizadas para evitar ruidos externos durante la planeación.;Opción B
201;¿Qué estándar de seguridad utiliza el enlace C2 de IEB para la protección de datos?;Protocolo WEP de 64 bits para facilitar la conexión con dispositivos móviles.;Algoritmo de encriptación AES-256 para garantizar la seguridad del enlace.;Cifrado básico de red Wi-Fi tipo 1 para operaciones en zonas urbanas.;No se utiliza cifrado para priorizar la velocidad de transmisión del video.;Opción B
